"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-6299.DPorder";"session.node-7091.conditionType";"trial.id";"trial.index";"trial.name";"trial.DP_block1.durationTime";"trial.DP_block1.endTime";"trial.DP_block1.outcome";"trial.DP_block1.probeLoc";"trial.DP_block1.response";"trial.DP_block1.result";"trial.DP_block1.RT";"trial.DP_block1.startTime";"trial.DP_block1.stimDuration";"trial.DP_block1.wordLeft";"trial.DP_block1.wordRight";"trial.DP_block2.durationTime";"trial.DP_block2.endTime";"trial.DP_block2.outcome";"trial.DP_block2.probeLoc";"trial.DP_block2.response";"trial.DP_block2.result";"trial.DP_block2.RT";"trial.DP_block2.startTime";"trial.DP_block2.stimDuration";"trial.DP_block2.wordLeft";"trial.DP_block2.wordRight";"trial.DP_block3.durationTime";"trial.DP_block3.endTime";"trial.DP_block3.outcome";"trial.DP_block3.probeLoc";"trial.DP_block3.response";"trial.DP_block3.result";"trial.DP_block3.RT";"trial.DP_block3.startTime";"trial.DP_block3.stimDuration";"trial.DP_block3.wordLeft";"trial.DP_block3.wordRight";"trial.DP_block4.durationTime";"trial.DP_block4.endTime";"trial.DP_block4.outcome";"trial.DP_block4.probeLoc";"trial.DP_block4.response";"trial.DP_block4.result";"trial.DP_block4.RT";"trial.DP_block4.startTime";"trial.DP_block4.stimDuration";"trial.DP_block4.wordLeft";"trial.DP_block4.wordRight";"trial.DP_practice.durationTime";"trial.DP_practice.endTime";"trial.DP_practice.outcome";"trial.DP_practice.probeLoc";"trial.DP_practice.response";"trial.DP_practice.result";"trial.DP_practice.RT";"trial.DP_practice.startTime";"trial.DP_practice.stimDuration";"trial.DP_practice.wordLeft";"trial.DP_practice.wordRight";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"mimi2006";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-11 16:31:20.888";"2015-02-11 17:00:42.537";"1";"5";"1";"1";"0";"module.GoNoGotutorial.exec-3609.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4002";"2015-02-11 16:32:24.505";"leftResponse";"0";"FINISHED";"LEFT";"success";"1854";"0";"2015-02-11 16:32:20.496"
"mimi2006";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-11 16:31:20.888";"2015-02-11 17:00:42.537";"1";"5";"1";"2";"1";"module.GoNoGotutorial.exec-3609.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4006";"2015-02-11 16:32:29.793";"rightResponse";"1";"FINISHED";"RIGHT";"success";"1138";"0";"2015-02-11 16:32:25.784"
"mimi2006";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-11 16:31:20.888";"2015-02-11 17:00:42.537";"1";"5";"1";"3";"2";"module.GoNoGotutorial.exec-3609.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4006";"2015-02-11 16:32:35.082";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2015-02-11 16:32:31.073"
"mimi2006";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-11 16:31:20.888";"2015-02-11 17:00:42.537";"1";"5";"1";"4";"3";"module.GoNoGopractice.exec-7741.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1962";"2015-02-11 16:32:47.687";"18";"0";"FINISHED";"NONE";"failure";"0";"0";"2015-02-11 16:32:45.721";"3";;;;;;;;;;
"mimi2006";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-11 16:31:20.888";"2015-02-11 17:00:42.537";"1";"5";"1";"5";"4";"module.GoNoGopractice.exec-7741.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1962";"2015-02-11 16:32:50.931";"21";"1";"FINISHED";"RIGHT";"success";"468";"0";"2015-02-11 16:32:48.966";"3";;;;;;;;;;
"mimi2006";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-11 16:31:20.888";"2015-02-11 17:00:42.537";"1";"5";"1";"6";"5";"module.GoNoGopractice.exec-7741.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1962";"2015-02-11 16:32:54.176";"14";"1";"FINISHED";"NONE";"success";"0";"1";"2015-02-11 16:32:52.211";"2";;;;;;;;;;
"mimi2006";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-11 16:31:20.888";"2015-02-11 17:00:42.537";"1";"5";"1";"7";"6";"module.GoNoGopractice.exec-7741.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1962";"2015-02-11 16:32:57.421";"26";"0";"FINISHED";"LEFT";"success";"507";"0";"2015-02-11 16:32:55.455";"3";;;;;;;;;;
"mimi2006";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-11 16:31:20.888";"2015-02-11 17:00:42.537";"1";"5";"1";"8";"7";"module.GoNoGopractice.exec-7741.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1962";"2015-02-11 16:33:00.666";"2";"0";"FINISHED";"LEFT";"success";"1070";"0";"2015-02-11 16:32:58.700";"1";;;;;;;;;;
"mimi2006";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-11 16:31:20.888";"2015-02-11 17:00:42.537";"1";"5";"1";"9";"8";"module.GoNoGopractice.exec-7741.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1961";"2015-02-11 16:33:04.004";"30";"0";"FINISHED";"LEFT";"failure";"595";"1";"2015-02-11 16:33:02.039";"3";;;;;;;;;;
"mimi2006";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-11 16:31:20.888";"2015-02-11 17:00:42.537";"1";"5";"1";"10";"9";"module.GoNoGopractice.exec-7741.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1962";"2015-02-11 16:33:07.249";"6";"1";"FINISHED";"NONE";"success";"0";"1";"2015-02-11 16:33:05.283";"1";;;;;;;;;;
